Stores,Address,Tel No.,Postal_Code
McDonald's Pioneer Mall,Blk 638 Jurong West Street 61 #01-01. Singapore 640638,67958902,640638
McDonald's Ang Mo Kio Park,10 Ang Mo Kio Street 12. Singapore 567740,64513365,567740
McDonald's Changi Airport T3,"65 Airport Boulevard #01-21, Arrival Meeting Hall South, Terminal 3. Singapore Changi Airport, Singapore 819663",62429681,819663
McDonald's Clementi Ave 3,PART OF Blk 451 Clementi Avenue 3 #01-309. Singapore 120451,67798834,120451
McDonald's SpringLeaf Tower,"3 Anson Road, #01-03. Singapore 079909",62218903,079909
McDonald's Sengkang Sports Complex,"57 Anchorvale Road #02-03, Sengkang Sports Centre. Singapore 544964",64898971,544964
Mcdonald's Trade Hub 21,28 Boon Lay Way #01-173/174 TradeHub 21 Singapore 609971,67958981,609971
McDonald's Aloccasia,"383 Bukit Timah Road #01-09C and #01-K1, Alocassia Apartments. Singapore 259727",68874961,259727
McDonald's NEX,23 Serangoon Central #B2-05/06/07/08 NEX. Singapore 556083,66344921,556083
McDonald's Pasir Ris Elias Community Ctr,93 Pasir Ris Drive 3 #01-02 Pasir Ris Elias Community Club. Singapore 519498,65817671,519498
McDonald's Clementi Mall,3155 Commonwealth Avenue West #01-06/07/08/09 The Clementi Mall. Singapore 129588,66594360,129588
McDonald's Bishan Park,1378 Ang Mo Kio Ave 1. Singapore 569981,64569839,569981
McDonald's Jurong Central Park,"291 Boon Lay Way, Singapore 649849",68610684,649849
McDonald's Punggol 21,80 Punggol Field #01-02 Punggol 21 Community Club. Singapore 828815,63154584,828815
McDonald's Changi City Point,5 Changi Business Park Central 1 #01-10/11 Changi City Point. Singapore 486038,66360681,486038
McDonald's PSA Building,"460 Alexandra Road #01-25, PSA Bilding (Alexandra Retail Centre). Singapore 119963",62747089,119963
McDonald's Changi Airport T2 Transit Lounge,"60 Airport Boulevard , Departure / Transit Lounge Central, Level 3, Unit No. 03-173, Terminal 2, Singapore Changi Airport, Singapore 819643",65439149,819643
McDonald's Temasek Polytechnic,"21 Tampines Avenue 1 30B-01-02, Temasek Polytechnic. Singapore 529757",67857158,529757
McDonald's Toa Payoh Safra,"293 Lorong 6 Toa Payoh #01-02, SAFRA Toa Payoh Club. Singapore 319387",62591260,319387
McDonald's Hougang 1,"1 Hougang Street 91, #01-26/39 Hougang 1. Singapore 538692",63845824,538692
McDonald's Chinatown Point 2,133 New Bridge Road #01-03 ChinaTown Point. Singapore 059413,67020038,059413
McDonald's Yishun Safra,60 Yishun Avenue 4 #01-11 SAFRA Yishun Country Club. Singapore 769027,67585632,769027
McDonald's Bedok Mall,311 New Upper Changi Road #01-10/11 Bedok Mall. Singapore 467360,68449818,467360
McDonald's JEM,"50 Jurong Gateway Road, #01-63, #02-55. Singapore 608549",63394006,608549
McDonald's Metropolis,9 North Buona Vista Drive #01-08 Tower 1 The Metropolis. Singapore 138588,66597958,138588
Mcdonald's Regal,3501 Jalan Bukit Merah #01-01. Singapore 159460,62740535,159460
McDonald's Suntec City 2,3 Temasek Boulevard #02-732/733 Suntec City Mall. Singapore 038983,68873979,038983
McDonald's Bedok Reservoir Park,"Blk 744 Bedok Reservoir #01-3019, Singapore 470744",62428951,470744
McDonald's LIDO,"350 Orchard Road #05-12/13 and #05/21 Shaw House, Singapore 238868",62350936,238868
McDonald's Seletar Mall,33 Sengkang West Avenue #01-04/05/06 The Seletar Mall. Singapore 797653,67022967,797653
McDonald's Fairprice Hub,1 Joo Koon Circle #01-27/28/29/30/31 Fairprice Hub. Singapore 629117,67104678,629117
McDonald's Paya Lebar Square,60 Paya Lebar Road #01-68/69/74/75/76/K3 Paya Lebar Square. Singapore 409051,63416809,409051
McDonald's East Point Mall,"3 Simei Street 6, #01-34 Eastpoint Mall. Singapore 528833",67020605,528833
McDonald's Sunplaza,30 Sembawang Drive #01-16 /17 Sun Plaza. Singapore 757713,67542644,757713
McDonald's V hotel,70 Jellicoe Road #01-20 V Hotel- Lavender. Singapore 208767,62913762,208767
McDonald's Garden By The Bay,18 Marina Gardens Drive #02-04 Gardens By The Bay. Singapore 018953,64432704,018953
McDonald's Pasir Ris Central 2,1 Pasir Ris Central street 3 #01-28/29 White Sands. Sinagpore 518457 Sinagpore 518457,63853180,518457
McDonald's Water Way Point,83 Punggol Central #B2-07 & #B2-K4 Waterway Point. Singapore 828761,63857853,828761
McDonald's Punggol Safra,9 Sentul Crescent #03-05 Punggol Safra. Singapore 828654,63856275,828654
McDonald's Marine Cove,1000 East Coast Parkway #01-05 Marine Cove East Coast Park. Singapore 449876,62430471,449876
McDonald's Compass One,1 Seng Kang Square #B1-13 Compass One. Singapore 545078,63863601,545078
McDonald's Downtown East,1 Pasir Ris Close #01-338 Downtown East Singapore 519599,63853601,519599
McDonald's Hillion Mall,17 Petir Road #B1-25/26/27 Hillion Mall Singapore 678278,62199169,678278
McDonald's Loyang Point,"258, Pasir Ris Street 21 #01-25 Loyang Point Singapore 510258",63868963,510258
McDonald's Shell Tampines,9 Tampines Avenue 2 #01-02 Singapore 529731,64446912,529731
McDonald's Keat Hong,"Blk 818 Choa Chu Kang Ave 1, #01-02, Singaopre 680818",67602660,680818
McDonald's Shell Hougang,"600 Hougang Avenue 3, #01-01 Singapore 538846",65815339,538846
McDonald's Punggol OASIS,"Blk 681 Punggol Drive, #02-37/38 Oasis Terraces Singapore 820681",65132520,820681
McDonald's Woodgrove,"30 Woodlands Avenue 1, #01-06 The Woodgrove Singapore 739065",68350885,739065
McDonald’s Aperia Mall,12 Kallang Avenue Aperia #01-24. Singapore 339511,62412729,339511
McDonald's Buangkok Square,"Blk 991 Buangkok Link 530991, Unit No. #01-14. Singapore 530991",65703540,530991
McDonald's Great World City 2,"1 Kim Seng Promenade #01-124, Great World City. Singapore 237994",62193029,237994
McDonald's Funan Centre 2,"107 North Bridge Road, FUNAN #01-16/17/21, Singapore 179105",69520352,179105
McDonald's Yishun Blosson Spring,Blk 461 Yishun Avenue 6 Blossom Spring @ Yishun #01-03 Singapore 762461,62193598,762461
McDonald's Vista Point,BLk 548 Woodlands Drive 44 #01-20 Vista Point Singapore 730548,67600915,730548
McDonald's ZhongShan Mall,"20 Ah Hood Road, #01-16, #01-K3 Zhongshan Mall Singapore 329984",66942568,329984
McDonald's Tampines East Community Club,10 Tampines street 23 #01-02 Singapore 529341,62230729,529341
McDonald's Canberra,"Blk 133 Canberra View, #01-01, #01-02, #01-03 Singapore 750133",66839116,750133
McDonald's LeQuest,4 Bukit Batok Street 41 #01-42/43/44/45/50/51/52/53/54 Singapore 657991,67193100,657991
McDonald's Tampines Green View,Blk 614 Tampines North Drive 1 #01-09 Singapore 520614,67196675,520614
McDonald's Shell Havelock,548 Havelock Road Singapore 169637,62350124,169637
McDonald's Greenridge Shopping Centre,Blk 524A Jelapang Road #01-02A Greenridge Shopping Centre. Singapore 671524,62195180,671524
McDonald's Punggol North Shore,Blk 407 Northshore Drive unit no #02-27 to #02-30 and #02-31 Northshore Plaza 1 Singapore 820407,67112031,820407
McDonald's Jurong Spring CC,"8 Jurong West Street 52, #01-02 Jurong Spring CC, Singapore 649296",65680019,649296
McDonald's Woodlands North Plaza,Blk 883 Woodlands Street 82 #01-468. Singapore 730883,62355674,730883
McDonald's 888P,Blk 888 Woodlands Drive 50 #01-737A. Singapore 730888,65731522,730888
McDonald's Siglap Community Club,"BLK 151 Bedok South Road, #01-12 Siglap CC. Singapore 460151",69524013,460151
McDonald's Sembawang Shopping Centre,"604 Sembawang Road, Sembawang Shopping Centre #01-27 to #01-31. Singapore 758459",65742004,758459
McDonald's Limbang Shopping Centre,Blk 533 Choa Chu Kang Street 51 Limbang Shopping Centre #01-10 Singapore 680533,63807315,680533
McDonald's JEWEL,78 Airport Boulevard Jewel Changi Airport #B1-298 Singapore 819666,62906434,819666
McDonald's Sengkang Grand Mall,"70 Compassvale Bow Sengkang Grand Mall Provisional, #01-34/35/36 Singapore 544692",67073082,544692
McDonald's Our Tampines Hub,"1 Tampines Walk #01-13/14, Our Tampines Hub Singapore 528523",62975688,528523
McDonald's Admiralty,"678A Woodlands Ave 6, #01-05 & #02-04 Singapore 731678",66119258,731678
McDonald's Caltex DT,130 Dunearn Road Singapore 309436,62508539,309436
McDonald's One Punggol,"1 Punggol Drive #01-08/09, One Punggol Community Club. Singapore 828629",65746159,828629
McDonald's Senj Heights,"Blk 642, Senja Close #01-12/13/14/15/16. Singapore 670642",67073001,670642
McDonald's Woodleigh Mall,"11 Bidadari Park Drive #B1-11/12, The Woodleigh Mall. Singapore 367803",67074025,367803
McDonald's Choa Chua Kang Park,26 Choa Chu Kang Drive. Singapore 689719,67193072,689719
McDonald's Cineleisure,"8 Grange Road, #01-05/06 Cineleisure. Singapore 239695",65754629,239695
McDonald’s Changi Airport Terminal 2,"Arrival Meeting Hall South, Level 1 #01-08 Terminal 2 Singapore Changi Airport. Singapore 819643",65688221,819643
McDonald’s Delta Sports Centre,900 Tiong Bahru Road #01-04 Singapore 158790,65681533,158790
McDonald's Pasir Ris West Plaza,Blk 735 Pasir Ris Street 72 #01-342 Pasir Ris West Plaza Singapore 510735,62149907,510735
McDonald's Anchor Point,"370 Alexandra Road #01-32/33/34 Anchorpoint Shopping Centre, Singapore 159953",62500218,159953
McDonald's Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road Taman Jurong Shopping Centre #01-23 and #01-24. Singapore 610399,69127751,610399
McDonald's Yio Chu Kang Sports Centre,210 Yio Chu Kang Avenue 9 #01-212 Singapore 569777,67115721,569777
McDonald's Pasir Ris Mall,7 Pasir Ris Central #B1-41 Singapore 519612,69686273,519612
McDonald's Tengah,BLk 127B Plantation Cresent #01-403 Singapore 692127,62353758,692127
McDonald's City Square 2,180 Kitchener Road #01-19/20/21/22/23 City Square Mall Singapore 208539,62559101,208539
McDonald's Tampines Greencourt,Blk 633 Tampines North Drive 2 #02-03 Singapore 520633,62054092,520633
McDonald's Thomson Community Club,194 Upper Thomson Road | #01-02/03 & ORA Thomson Community Club | Singapore 574339,68835307,574339
McDonald's Vivo City 2,1 Harbourfront Walk #B2-44 VivoCity Singapore 098585,62195893,098585
McDonald's Mandai Wildlife East,"80 Mandai Lake Road, #01-22. Singapore 729826",63487392,729826
McDonald's Sembawang Mart,511 Canberra Road #02-04 Singapore 750511,63481137,750511
McDonald's Bukit Batok Connection,2 Bukit Batok Street 23 #01-14. Singapore 659554,63481477,659554
