Stores,Address,Tel No.,Postal_Code,Latitude,Longitude
McDonald's West Coast Park,71 West Coast Highway. Singapore 126844,67791413,126844,1.29754924347955,103.763301625431
McDonald's Nanyang Technological University,"76 Nanyang Drive, Block N2.1 #01-08 Nanyang Technological University, Singapore 637331",67929917,637331,1.34713048855579,103.680033789538
McDonald's Pioneer Mall,Blk 638 Jurong West Street 61 #01-01. Singapore 640638,67958902,640638,1.34169239214292,103.697174842118
McDonald's Ang Mo Kio Park,10 Ang Mo Kio Street 12. Singapore 567740,64513365,567740,1.37241285620959,103.844738120023
McDonald's Changi Airport T3,"65 Airport Boulevard #01-21, Arrival Meeting Hall South, Terminal 3. Singapore Changi Airport, Singapore 819663",62429681,819663,1.35640628728788,103.986211815854
McDonald's Clementi Ave 3,PART OF Blk 451 Clementi Avenue 3 #01-309. Singapore 120451,67798834,120451,1.31274380194655,103.76584669599
McDonald's SpringLeaf Tower,"3 Anson Road, #01-03. Singapore 079909",62218903,79909,1.27508475472297,103.84624628336
McDonald's Sengkang Sports Complex,"57 Anchorvale Road #02-03, Sengkang Sports Centre. Singapore 544964",64898971,544964,1.39662732516879,103.886867231183
Mcdonald's Trade Hub 21,28 Boon Lay Way #01-173/174 TradeHub 21 Singapore 609971,67958981,609971,1.32822829508816,103.751674926384
McDonald's Aloccasia,"383 Bukit Timah Road #01-09C and #01-K1, Alocassia Apartments. Singapore 259727",68874961,259727,1.31943645952176,103.827347301883
McDonald's NEX,23 Serangoon Central #B2-05/06/07/08 NEX. Singapore 556083,66344921,556083,1.35067551435975,103.871861623874
McDonald's Pasir Ris Elias Community Ctr,93 Pasir Ris Drive 3 #01-02 Pasir Ris Elias Community Club. Singapore 519498,65817671,519498,1.37843931155902,103.942549067451
McDonald's Clementi Mall,3155 Commonwealth Avenue West #01-06/07/08/09 The Clementi Mall. Singapore 129588,66594360,129588,1.31498672954653,103.764724680775
McDonald's Bishan Park,1378 Ang Mo Kio Ave 1. Singapore 569981,64569839,569981,1.36109752736826,103.846613411154
McDonald's Jurong Central Park,"291 Boon Lay Way, Singapore 649849",68610684,649849,1.33917483361225,103.70865558407
McDonald's Punggol 21,80 Punggol Field #01-02 Punggol 21 Community Club. Singapore 828815,63154584,828815,1.39351971529878,103.913582341491
McDonald's Changi City Point,5 Changi Business Park Central 1 #01-10/11 Changi City Point. Singapore 486038,66360681,486038,1.33408359331373,103.962946083391
McDonald's PSA Building,"460 Alexandra Road #01-25, PSA Bilding (Alexandra Retail Centre). Singapore 119963",62747089,119963,1.27414893629254,103.801399416665
McDonald's Changi Airport T2 Transit Lounge,"60 Airport Boulevard , Departure / Transit Lounge Central, Level 3, Unit No. 03-173, Terminal 2, Singapore Changi Airport, Singapore 819643",65439149,819643,1.35529943230217,103.989141952518
McDonald's Changi Airport T2 Transit Lounge,"60 Airport Boulevard , Departure / Transit Lounge Central, Level 3, Unit No. 03-173, Terminal 2, Singapore Changi Airport, Singapore 819643",65439149,819643,1.35529943230217,103.989141952518
McDonald's Temasek Polytechnic,"21 Tampines Avenue 1 30B-01-02, Temasek Polytechnic. Singapore 529757",67857158,529757,1.3452917235724,103.934225254191
McDonald's Toa Payoh Safra,"293 Lorong 6 Toa Payoh #01-02, SAFRA Toa Payoh Club. Singapore 319387",62591260,319387,1.32988651708771,103.854213740191
McDonald's Hougang 1,"1 Hougang Street 91, #01-26/39 Hougang 1. Singapore 538692",63845824,538692,1.37571530699875,103.879472337592
McDonald's Chinatown Point 2,133 New Bridge Road #01-03 ChinaTown Point. Singapore 059413,67020038,59413,1.28526967945116,103.845037770312
McDonald's Yishun Safra,60 Yishun Avenue 4 #01-11 SAFRA Yishun Country Club. Singapore 769027,67585632,769027,1.42415525542106,103.8409701987
McDonald's Bedok Mall,311 New Upper Changi Road #01-10/11 Bedok Mall. Singapore 467360,68449818,467360,1.32473632812103,103.929256259726
McDonald's JEM,"50 Jurong Gateway Road, #01-63, #02-55. Singapore 608549",63394006,608549,1.33329334473462,103.743278742341
McDonald's Metropolis,9 North Buona Vista Drive #01-08 Tower 1 The Metropolis. Singapore 138588,66597958,138588,1.30624556811811,103.791237458059
Mcdonald's Regal,3501 Jalan Bukit Merah #01-01. Singapore 159460,62740535,159460,1.28348433174779,103.818267800134
McDonald's Suntec City 2,3 Temasek Boulevard #02-732/733 Suntec City Mall. Singapore 038983,68873979,38983,1.29485990186642,103.860333693777
McDonald's Bedok Reservoir Park,"Blk 744 Bedok Reservoir #01-3019, Singapore 470744",62428951,470744,1.33786042639305,103.921663304068
McDonald's LIDO,"350 Orchard Road #05-12/13 and #05/21 Shaw House, Singapore 238868",62350936,238868,1.30586800624384,103.831518269245
McDonald's Seletar Mall,33 Sengkang West Avenue #01-04/05/06 The Seletar Mall. Singapore 797653,67022967,797653,1.39147015374628,103.876125507257
McDonald's Fairprice Hub,1 Joo Koon Circle #01-27/28/29/30/31 Fairprice Hub. Singapore 629117,67104678,629117,1.32561767765205,103.678409741897
McDonald's Paya Lebar Square,60 Paya Lebar Road #01-68/69/74/75/76/K3 Paya Lebar Square. Singapore 409051,63416809,409051,1.31881487007651,103.892580778514
McDonald's East Point Mall,"3 Simei Street 6, #01-34 Eastpoint Mall. Singapore 528833",67020605,528833,1.34270592355576,103.953024618234
McDonald's Sunplaza,30 Sembawang Drive #01-16 /17 Sun Plaza. Singapore 757713,67542644,757713,1.44819666623789,103.819498634275
McDonald's V hotel,70 Jellicoe Road #01-20 V Hotel- Lavender. Singapore 208767,62913762,208767,1.30779680295707,103.86253504374
McDonald's Garden By The Bay,18 Marina Gardens Drive #02-04 Gardens By The Bay. Singapore 018953,64432704,18953,1.28387301464472,103.865993692974
McDonald's Pasir Ris Central 2,1 Pasir Ris Central street 3 #01-28/29 White Sands. Sinagpore 518457 Sinagpore 518457,63853180,518457,1.3724564071358,103.949763493981
McDonald's Water Way Point,83 Punggol Central #B2-07 & #B2-K4 Waterway Point. Singapore 828761,63857853,828761,1.40640964880099,103.902130352627
McDonald's Punggol Safra,9 Sentul Crescent #03-05 Punggol Safra. Singapore 828654,63856275,828654,1.4101948880134,103.906072212279
McDonald's Marine Cove,1000 East Coast Parkway #01-05 Marine Cove East Coast Park. Singapore 449876,62430471,449876,1.30200053040251,103.914145450611
McDonald's Compass One,1 Seng Kang Square #B1-13 Compass One. Singapore 545078,63863601,545078,1.39205314156706,103.89507054384
McDonald's Downtown East,1 Pasir Ris Close #01-338 Downtown East Singapore 519599,63853601,519599,1.3766980678365,103.95514122442
McDonald's Hillion Mall,17 Petir Road #B1-25/26/27 Hillion Mall Singapore 678278,62199169,678278,1.37843100800213,103.762842789877
McDonald's Loyang Point,"258, Pasir Ris Street 21 #01-25 Loyang Point Singapore 510258",63868963,510258,1.36707357525622,103.964632225014
McDonald's Shell Tampines,9 Tampines Avenue 2 #01-02 Singapore 529731,64446912,529731,1.34922876330017,103.947704385806
McDonald's Keat Hong,"Blk 818 Choa Chu Kang Ave 1, #01-02, Singaopre 680818",67602660,680818,1.37802616177265,103.748826770919
McDonald's Shell Hougang,"600 Hougang Avenue 3, #01-01 Singapore 538846",65815339,538846,1.34932066527583,103.89014515132
McDonald's Punggol OASIS,"Blk 681 Punggol Drive, #02-37/38 Oasis Terraces Singapore 820681",65132520,820681,1.40287845827053,103.913195741417
McDonald's Woodgrove,"30 Woodlands Avenue 1, #01-06 The Woodgrove Singapore 739065",68350885,739065,1.42898765704375,103.780916973423
McDonald’s Aperia Mall,12 Kallang Avenue Aperia #01-24. Singapore 339511,62412729,339511,1.30974242004976,103.864101650501
McDonald's Buangkok Square,"Blk 991 Buangkok Link 530991, Unit No. #01-14. Singapore 530991",65703540,530991,1.38433426615655,103.881623070164
McDonald's Great World City 2,"1 Kim Seng Promenade #01-124, Great World City. Singapore 237994",62193029,237994,1.29380235105066,103.831757911057
McDonald's Funan Centre 2,"107 North Bridge Road, FUNAN #01-16/17/21, Singapore 179105",69520352,179105,1.29134759697794,103.849989790085
McDonald's Yishun Blosson Spring,Blk 461 Yishun Avenue 6 Blossom Spring @ Yishun #01-03 Singapore 762461,62193598,762461,1.42870671550909,103.850533238416
McDonald's Vista Point,BLk 548 Woodlands Drive 44 #01-20 Vista Point Singapore 730548,67600915,730548,1.43044361849124,103.793804884379
McDonald's ZhongShan Mall,"20 Ah Hood Road, #01-16, #01-K3 Zhongshan Mall Singapore 329984",66942568,329984,1.32702991607724,103.846490871841
McDonald's Tampines East Community Club,10 Tampines street 23 #01-02 Singapore 529341,62230729,529341,1.35335683374898,103.954620457783
McDonald's Canberra,"Blk 133 Canberra View, #01-01, #01-02, #01-03 Singapore 750133",66839116,750133,1.44349544527985,103.830345369213
McDonald's LeQuest,4 Bukit Batok Street 41 #01-42/43/44/45/50/51/52/53/54 Singapore 657991,67193100,657991,1.35594171176111,103.741127005764
McDonald's Tampines Green View,Blk 614 Tampines North Drive 1 #01-09 Singapore 520614,67196675,520614,1.36538278363847,103.936722564783
McDonald's Shell Havelock,548 Havelock Road Singapore 169637,62350124,169637,1.28984686860999,103.832414752412
McDonald's Greenridge Shopping Centre,Blk 524A Jelapang Road #01-02A Greenridge Shopping Centre. Singapore 671524,62195180,671524,1.38529556252963,103.766170532051
McDonald's Punggol North Shore,Blk 407 Northshore Drive unit no #02-27 to #02-30 and #02-31 Northshore Plaza 1 Singapore 820407,67112031,820407,1.41676127156324,103.902074379502
McDonald's Jurong Spring CC,"8 Jurong West Street 52, #01-02 Jurong Spring CC, Singapore 649296",65680019,649296,1.3483301723683,103.718155695546
McDonald's Woodlands North Plaza,Blk 883 Woodlands Street 82 #01-468. Singapore 730883,62355674,730883,1.44275334327795,103.790548015512
McDonald's 888P,Blk 888 Woodlands Drive 50 #01-737A. Singapore 730888,65731522,730888,1.43712301500434,103.795314383823
McDonald's Siglap Community Club,"BLK 151 Bedok South Road, #01-12 Siglap CC. Singapore 460151",69524013,460151,1.31732224485714,103.946800146513
McDonald's Sembawang Shopping Centre,"604 Sembawang Road, Sembawang Shopping Centre #01-27 to #01-31. Singapore 758459",65742004,758459,1.44175296834191,103.82479165671
McDonald's Limbang Shopping Centre,Blk 533 Choa Chu Kang Street 51 Limbang Shopping Centre #01-10 Singapore 680533,63807315,680533,1.39207387937105,103.743099576162
McDonald's JEWEL,78 Airport Boulevard Jewel Changi Airport #B1-298 Singapore 819666,62906434,819666,1.36041110472978,103.989426202914
McDonald's Sengkang Grand Mall,"70 Compassvale Bow Sengkang Grand Mall Provisional, #01-34/35/36 Singapore 544692",67073082,544692,1.38381228170133,103.892318220824
McDonald's Our Tampines Hub,"1 Tampines Walk #01-13/14, Our Tampines Hub Singapore 528523",62975688,528523,1.35354740485205,103.940381104547
McDonald's Admiralty,"678A Woodlands Ave 6, #01-05 & #02-04 Singapore 731678",66119258,731678,1.44036367556377,103.801537354932
McDonald's Caltex DT,130 Dunearn Road Singapore 309436,62508539,309436,1.31879777662724,103.833315556715
McDonald's One Punggol,"1 Punggol Drive #01-08/09, One Punggol Community Club. Singapore 828629",65746159,828629,1.40829892495231,103.905104199124
McDonald's Senj Heights,"Blk 642, Senja Close #01-12/13/14/15/16. Singapore 670642",67073001,670642,1.38712667134352,103.761960181682
McDonald's Woodleigh Mall,"11 Bidadari Park Drive #B1-11/12, The Woodleigh Mall. Singapore 367803",67074025,367803,1.33869419209869,103.871750105256
McDonald's Choa Chua Kang Park,26 Choa Chu Kang Drive. Singapore 689719,67193072,689719,1.38808774905206,103.746341914407
McDonald's Cineleisure,"8 Grange Road, #01-05/06 Cineleisure. Singapore 239695",65754629,239695,1.30152101873533,103.836429655016
McDonald’s Changi Airport Terminal 2,"Arrival Meeting Hall South, Level 1 #01-08 Terminal 2 Singapore Changi Airport. Singapore 819643",65688221,819643,1.35529943230217,103.989141952518
McDonald’s Changi Airport Terminal 2,"Arrival Meeting Hall South, Level 1 #01-08 Terminal 2 Singapore Changi Airport. Singapore 819643",65688221,819643,1.35529943230217,103.989141952518
McDonald’s Delta Sports Centre,900 Tiong Bahru Road #01-04 Singapore 158790,65681533,158790,1.29052498417749,103.820588112164
McDonald's Pasir Ris West Plaza,Blk 735 Pasir Ris Street 72 #01-342 Pasir Ris West Plaza Singapore 510735,62149907,510735,1.37930651921164,103.93627211062
McDonald's Anchor Point,"370 Alexandra Road #01-32/33/34 Anchorpoint Shopping Centre, Singapore 159953",62500218,159953,1.28861469030586,103.805009964592
McDonald's Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road Taman Jurong Shopping Centre #01-23 and #01-24. Singapore 610399,69127751,610399,1.3346654460572,103.720685511067
McDonald's Yio Chu Kang Sports Centre,210 Yio Chu Kang Avenue 9 #01-212 Singapore 569777,67115721,569777,1.38318497276667,103.846355695316
McDonald's Pasir Ris Mall,7 Pasir Ris Central #B1-41 Singapore 519612,69686273,519612,1.37382437779468,103.948748873616
McDonald's Tengah,BLk 127B Plantation Cresent #01-403 Singapore 692127,62353758,692127,1.35839550236685,103.734529515165
McDonald's City Square 2,180 Kitchener Road #01-19/20/21/22/23 City Square Mall Singapore 208539,62559101,208539,1.31142103107683,103.856624019991
McDonald's Tampines Greencourt,Blk 633 Tampines North Drive 2 #02-03 Singapore 520633,62054092,520633,1.36551980812276,103.941330282181
McDonald's Thomson Community Club,194 Upper Thomson Road | #01-02/03 & ORA Thomson Community Club | Singapore 574339,68835307,574339,1.35120299213486,103.836313979653
McDonald's Vivo City 2,1 Harbourfront Walk #B2-44 VivoCity Singapore 098585,62195893,98585,1.26431382492761,103.82207343835
McDonald's Mandai Wildlife East,"80 Mandai Lake Road, #01-22. Singapore 729826",63487392,729826,1.40625885512317,103.790666449235
McDonald's Sembawang Mart,511 Canberra Road #02-04 Singapore 750511,63481137,750511,1.45384518789713,103.819543348113
McDonald's Bukit Batok Connection,2 Bukit Batok Street 23 #01-14. Singapore 659554,63481477,659554,1.343728084174,103.753631320464
